pred_label,kind,gold,threshold,precision_mean,recall_mean,f1_mean,precision_std,recall_std,f1_std,pred_count_mean,gold_count,policy,model,sem_mode
LLM-avg,node,short,0.1,1.0,0.8347826086956524,0.9090423078078981,0.0,0.05233469589932694,0.03192600272671234,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.15,0.9967741935483871,0.8318840579710146,0.9059888726933943,0.0064516129032258,0.049018940653008033,0.02876487443914486,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.2,0.9894627944124614,0.8260869565217392,0.899530539360061,0.008680132003734117,0.05344663453503124,0.03411835969436232,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.25,0.9614617401041222,0.8028985507246377,0.8741745682314521,0.01712557532250277,0.05694748609967681,0.03864164246840911,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.3,0.9134685302638618,0.7623188405797101,0.8302426944962032,0.012710653844481144,0.045461991714081516,0.027598230556395164,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.35,0.8761294167183286,0.7304347826086955,0.7958718018072168,0.02056720453751455,0.032536151189338634,0.01574347428740327,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.4,0.799971128512867,0.6666666666666666,0.726512392057863,0.025848980219111653,0.027498066610159817,0.014223413765767972,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.45,0.7272611161694746,0.6057971014492753,0.6603025886077217,0.04313374568551319,0.03478260869565215,0.031700282308178,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.5,0.6498469737247287,0.5420289855072464,0.5904635626415018,0.02734755272493248,0.03502332166259294,0.027281950570553035,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.55,0.5516676888134262,0.4608695652173913,0.5017131619282323,0.02279775770714279,0.03823451002397948,0.030751126755489896,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.6,0.4825228430392915,0.4028985507246377,0.4387021773757288,0.019680059948520533,0.030948052904438576,0.02466959285328683,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.65,0.4272465880075753,0.3565217391304348,0.38830335497184987,0.009539911657800462,0.021690767459559095,0.014150622629827681,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.7,0.37300545526934215,0.3101449275362319,0.3383298145699345,0.03294723164403318,0.019658927487319608,0.023110150240244466,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.75,0.26109151226335825,0.2173913043478261,0.23700559495902707,0.017606495427987496,0.012962712913042254,0.013103411227753901,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.8,0.20979527121268746,0.17391304347826086,0.1899647121876941,0.02876484339482839,0.01587601615957003,0.020562978405539615,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.85,0.15034662419859443,0.12463768115942028,0.1361450006010699,0.023030692442022393,0.014779766706066042,0.017839394919272517,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,short,0.9,0.10763597232033968,0.08985507246376812,0.09785637184187854,0.019090453631758514,0.016901309840131305,0.01779768505122497,57.6,69,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.1,0.9296581889481722,0.9888888888888889,0.9573573390296003,0.04148204706937749,0.022222222222222233,0.014067505410688245,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.15,0.9116455601678464,0.9703703703703704,0.9391188223840039,0.03755706330260251,0.03813196348513703,0.02321720633603165,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.2,0.871273018172032,0.9259259259259259,0.8968175014894575,0.05403621413058949,0.020286020648339453,0.029794992037285566,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.25,0.8224955093932145,0.874074074074074,0.8465876164319864,0.05280256865570417,0.021596118129056673,0.029735790426878742,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.3,0.7734784892633927,0.8222222222222223,0.7962460583867358,0.045454417472385496,0.018885257457751072,0.0231435712366556,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.35,0.7394991148172096,0.7851851851851851,0.7608096836537485,0.06494147478647101,0.036288736930121156,0.046106528939389345,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.4,0.7083023454663817,0.7518518518518519,0.7286233052879376,0.06110744976970872,0.02771598064276994,0.04121818746755918,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.45,0.6514421880816579,0.6925925925925926,0.6706626996236394,0.037862814615781976,0.018885257457751055,0.0202067613097536,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.5,0.58329106118796,0.6185185185185185,0.5997066131915079,0.06497692344524822,0.03813196348513703,0.049451037569897174,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.55,0.5506443221318618,0.5851851851851853,0.5667661333682084,0.04598838407655054,0.0343467351685026,0.03581794868216834,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.6,0.4839427213354375,0.5148148148148148,0.4983691529709229,0.024764463919275597,0.018144368465060606,0.014175658208998517,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.65,0.4289473810677718,0.45555555555555555,0.44136913843962977,0.0331483645379277,0.014814814814814815,0.021381664237373647,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.7,0.36939315535041156,0.39259259259259255,0.380229957713937,0.029233575508790452,0.021596118129056676,0.022551932135750286,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.75,0.27460370094758363,0.2925925925925926,0.28303166368775157,0.027389584913057315,0.031860463952009734,0.028361330565984232,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.8,0.16110629919658895,0.17037037037037037,0.16542860049115773,0.03327627219915702,0.029629629629629627,0.03113880478150918,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.85,0.12570704645425976,0.1333333333333333,0.12927794004388451,0.027193093470284358,0.02721655269759087,0.026953354446389133,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,medium,0.9,0.08400142546036343,0.08888888888888888,0.08628572881700743,0.03095014826939761,0.031860463952009734,0.03127491762938104,57.6,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.1,0.5578802339736445,1.0,0.7154908653396221,0.03714707155108124,0.0,0.02992528048615663,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.15,0.5578802339736445,1.0,0.7154908653396221,0.03714707155108124,0.0,0.02992528048615663,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.2,0.5578802339736445,1.0,0.7154908653396221,0.03714707155108124,0.0,0.02992528048615663,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.25,0.5404464766619681,0.96875,0.6931317757977589,0.035986225565109935,0.0,0.028990115470964178,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.3,0.5195644434882227,0.93125,0.6663282418114511,0.036057895579441133,0.012499999999999999,0.03004314468658504,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.35,0.5060522548039974,0.90625,0.6487884293780218,0.042454645250646544,0.01976423537605237,0.03835520612203386,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.4,0.46532331074998956,0.83125,0.5960321247580924,0.058056099015690664,0.05077524002897475,0.059766630400939665,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.45,0.44057815430238756,0.7875,0.5644581537121912,0.05299062491327434,0.05,0.05502108798334114,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.5,0.4265342274991858,0.7625,0.5464946685659323,0.04899729415876655,0.042389562394532926,0.0499977197616173,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.55,0.387745144248382,0.69375,0.4969572123737723,0.04041009480564413,0.036443449342783124,0.04107643684190219,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.6,0.3415862165080583,0.6125,0.438156034628734,0.024517251794900767,0.024999999999999998,0.023715183021303553,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.65,0.27488461571163414,0.49375,0.35283812829057637,0.03349228168892476,0.06059599821770411,0.042069338405013035,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.7,0.23334301877459945,0.41875,0.29942018561346934,0.03498715164418762,0.06123724356957945,0.043818202498237,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.75,0.19894879691662867,0.35625,0.2550768391937323,0.029764240173615186,0.046770717334674264,0.03580473180263007,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.8,0.1461157868626231,0.2625,0.18757589785531342,0.02313216014073456,0.042389562394532926,0.029628102987441673,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.85,0.1326035981783977,0.2375,0.17003608542188392,0.022445276687972866,0.0375,0.027768357143629865,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,node,long,0.9,0.09428780769297594,0.16875,0.12087346189371313,0.018827895591569707,0.0318688719599549,0.02348687834269675,57.6,32,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.1,1.0,0.6795180722891565,0.8034851820707936,0.0,0.11571284051607682,0.08290628973919578,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.15,1.0,0.6795180722891565,0.8034851820707936,0.0,0.11571284051607682,0.08290628973919578,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.2,0.9933369447453956,0.674698795180723,0.797924816510428,0.00832122944282663,0.113278643600416,0.08062464388356383,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.25,0.9724023206071232,0.6578313253012048,0.7792823279039107,0.029294114249581966,0.09474507591006025,0.062207039705503966,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.3,0.9429770087528111,0.6385542168674699,0.7561913862849116,0.028738571496477378,0.0954776518369106,0.06576300638604601,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.35,0.9233502316970338,0.6240963855421688,0.7395857097871487,0.04026551646466975,0.08833880857746197,0.05906983625316858,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.4,0.9004627808887795,0.6072289156626506,0.7202169104543206,0.04454944551829653,0.0775589250093064,0.04630896071529051,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.45,0.8663194171333171,0.5831325301204819,0.6921682006775531,0.054362250099504815,0.06967148093879981,0.04183479191591532,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.5,0.8218665080013497,0.5493975903614458,0.6538960824414062,0.0797525613667622,0.04350715683197059,0.01865600678395843,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.55,0.7350918034478413,0.48915662650602404,0.583149343382437,0.09510020235369256,0.031967467858847236,0.024764612485709887,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.6,0.6034813335667641,0.4024096385542169,0.4792322339530973,0.07645409240370497,0.03458481950459596,0.02403791336884804,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.65,0.4441816092012352,0.29638554216867474,0.35304182005045315,0.059103756477092415,0.031046021028253313,0.030153187755446745,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.7,0.2782587284953944,0.1855421686746988,0.22099554572791985,0.03881639377269023,0.0195759961557493,0.01815025595340316,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.75,0.17067696215121753,0.11325301204819278,0.13512256099882,0.029255501820771905,0.012286794008657315,0.013538847670620538,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.8,0.13218962788923536,0.0891566265060241,0.105811994560196,0.021344973521402497,0.016342963814759682,0.01721260407096689,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.85,0.060920821270625,0.04096385542168675,0.04862270391479025,0.006595477472044618,0.005902384922369106,0.004620593288637242,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,short,0.9,0.0028169014084507044,0.0024096385542168677,0.0025974025974025974,0.005633802816901409,0.004819277108433735,0.005194805194805195,56.4,83,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.1,0.9146014168237674,0.9407407407407409,0.9208061898724736,0.08634063742473609,0.0839687707315158,0.042928113191218586,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.15,0.903337680560031,0.9296296296296296,0.9096226564247892,0.08026309380819435,0.0831479419283098,0.033636190744069844,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.2,0.8887772409995917,0.9148148148148149,0.8949399806100381,0.07770205546534331,0.08248539796785218,0.026225393972566787,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.25,0.8779197463046458,0.9037037037037037,0.8840950530738061,0.07624139386938326,0.08148148148148147,0.02873023512893483,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.3,0.8425483755834715,0.8629629629629629,0.8463356974171576,0.09633113443962554,0.05443310539518173,0.03372031193279517,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.35,0.8011189457044917,0.8185185185185185,0.8038623088970095,0.10452837425665508,0.05158662324883008,0.05163135624835826,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.4,0.7445099347662266,0.762962962962963,0.7480877321202177,0.08303349688948118,0.05158662324883007,0.030982199225108135,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.45,0.7067990118094021,0.725925925925926,0.7108030104158898,0.07357734835571626,0.060178062256562664,0.023599612207183984,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.5,0.6574346668493518,0.674074074074074,0.6607017575260398,0.07074466805082283,0.044752022124424355,0.01934478048226797,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.55,0.5913238151058515,0.6037037037037037,0.5931162477937704,0.08235444304931802,0.04319223625811332,0.04529585369492139,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.6,0.5029085399323219,0.5148148148148148,0.5049777040296319,0.07272467210546542,0.05418051421602887,0.04706468944329443,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.65,0.37599273657920623,0.3814814814814814,0.375823809878937,0.07050712186162908,0.030089031128281343,0.04267050125369818,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.7,0.23149210521641833,0.23703703703703702,0.23241503467820124,0.029724303600832048,0.018144368465060578,0.012173927251835298,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.75,0.15749406062266832,0.16296296296296298,0.159023330101673,0.01354955336465911,0.021596118129056666,0.012378032577373958,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.8,0.1129033131111173,0.11851851851851851,0.11486865040892932,0.016893722082768323,0.027715980642769936,0.021051615373968602,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.85,0.059730345080148815,0.06296296296296296,0.060912586074029884,0.008165035907472586,0.014814814814814814,0.011072111389237561,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,medium,0.9,0.0028169014084507044,0.0037037037037037034,0.0032,0.005633802816901409,0.007407407407407407,0.0064,56.4,54,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.1,0.4568769278132011,1.0,0.6230263877709789,0.0812554171846616,0.0,0.07495487037544604,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.15,0.4568769278132011,1.0,0.6230263877709789,0.0812554171846616,0.0,0.07495487037544604,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
LLM-avg,triple,long,0.2,0.4568769278132011,1.0,0.6230263877709789,0.0812554171846616,0.0,0.07495487037544604,56.4,25,greedy1to1,sentence-transformers/all-mpnet-base-v2,concat
